name,list_price,standard_price,categ_id/id,default_code,barcode,description
"Notebook Lenovo Legion 5 AMD",520000,420000,product.product_category_5,LENOVO-L5-AMD,7891234567890,"Notebook Gaming AMD Ryzen 7 16GB RAM RTX 3060"
"Mouse Gaming Logitech G502",35000,25000,product.product_category_5,LOG-G502,7891234567891,"Mouse Gaming con 11 botones programables"
"Mochila Notebook USB",18000,12000,product.product_category_5,MOCH-USB,7891234567892,"Mochila para notebook con puerto USB"
"Teclado Mecánico HyperX",45000,32000,product.product_category_5,HYPERX-KB,7891234567893,"Teclado mecánico RGB switches rojos"
"Monitor LG 24 4K",180000,140000,product.product_category_5,LG-24-4K,7891234567894,"Monitor 24 pulgadas 4K HDR"
"Webcam Logitech C920",25000,18000,product.product_category_5,LOG-C920,7891234567895,"Webcam HD 1080p para streaming"
"Auriculares Sony WH-1000XM4",95000,75000,product.product_category_5,SONY-WH1000,7891234567896,"Auriculares inalámbricos con cancelación de ruido"
"SSD Samsung 1TB",45000,35000,product.product_category_5,SAMSUNG-SSD1TB,7891234567897,"Disco SSD NVMe 1TB alta velocidad"
"RAM DDR4 16GB Corsair",28000,22000,product.product_category_5,CORSAIR-16GB,7891234567898,"Memoria RAM DDR4 16GB 3200MHz"
"Router WiFi 6 TP-Link",35000,25000,product.product_category_5,TPL-WIFI6,7891234567899,"Router WiFi 6 AX1800 dual band"
